Title,Author,Rating
Pride and Prejudice,Jane Austen,"4.29 avg rating — 4,469,645 ratings"
1984,George Orwell,"4.20 avg rating — 4,974,954 ratings"
Crime and Punishment,Fyodor Dostoevsky,"4.28 avg rating — 973,324 ratings"
Hamlet,William Shakespeare,"4.02 avg rating — 996,259 ratings"
One Hundred Years of Solitude,Gabriel García Márquez,"4.12 avg rating — 1,028,122 ratings"
Anna Karenina,Leo Tolstoy,"4.10 avg rating — 882,582 ratings"
The Odyssey,Homer,"3.82 avg rating — 1,127,697 ratings"
The Stranger,Albert Camus,"4.03 avg rating — 1,225,919 ratings"
The Brothers Karamazov,Fyodor Dostoevsky,"4.38 avg rating — 352,848 ratings"
Great Expectations,Charles Dickens,"3.80 avg rating — 837,456 ratings"
Lolita,Vladimir Nabokov,"3.88 avg rating — 891,379 ratings"
The Old Man and the Sea,Ernest Hemingway,"3.81 avg rating — 1,222,855 ratings"
War and Peace,Leo Tolstoy,"4.16 avg rating — 346,222 ratings"
Don Quixote,Miguel de Cervantes Saavedra,"3.90 avg rating — 286,957 ratings"
The Iliad,Homer,"3.92 avg rating — 477,959 ratings"
Madame Bovary,Gustave Flaubert,"3.70 avg rating — 351,676 ratings"
The Trial,Franz Kafka,"3.95 avg rating — 356,719 ratings"
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,"4.08 avg rating — 161,660 ratings"
"Moby-Dick or, The Whale",Herman Melville,"3.55 avg rating — 587,892 ratings"
King Lear,William Shakespeare,"3.91 avg rating — 227,463 ratings"
Love in the Time of Cholera,Gabriel García Márquez,"3.94 avg rating — 523,713 ratings"
Mrs. Dalloway,Virginia Woolf,"3.79 avg rating — 325,807 ratings"
The Complete Fairy Tales,Hans Christian Andersen,"4.29 avg rating — 107,840 ratings"
Othello,William Shakespeare,"3.89 avg rating — 414,485 ratings"
The Arabian Nights,Anonymous,"4.03 avg rating — 78,970 ratings"
Ulysses,James Joyce,"3.76 avg rating — 132,554 ratings"
The Sound and the Fury,William Faulkner,"3.86 avg rating — 188,183 ratings"
Gulliver’s Travels,Jonathan Swift,"3.59 avg rating — 286,519 ratings"
"Oedipus Rex  (The Theban Plays, #1)",Sophocles,"3.72 avg rating — 226,475 ratings"
The Canterbury Tales,Geoffrey Chaucer,"3.52 avg rating — 231,456 ratings"
"Pippi Longstocking (Pippi Långstrump, #1)",Astrid Lindgren,"4.15 avg rating — 204,306 ratings"
The Idiot,Fyodor Dostoevsky,"4.21 avg rating — 197,343 ratings"
"Swann’s Way (In Search of Lost Time, #1)",Marcel Proust,"4.15 avg rating — 64,031 ratings"
The Collected Tales of Edgar Allan Poe,Edgar Allan Poe,"4.28 avg rating — 1,625 ratings"
To the Lighthouse,Virginia Woolf,"3.80 avg rating — 197,594 ratings"
"Beloved (Beloved Trilogy, #1)",Toni Morrison,"3.96 avg rating — 459,774 ratings"
"Faust, First Part",Johann Wolfgang von Goethe,"3.86 avg rating — 130,487 ratings"
Blindness,José Saramago,"4.17 avg rating — 311,154 ratings"
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"3.74 avg rating — 390,621 ratings"
Ficciones,Jorge Luis Borges,"4.41 avg rating — 72,502 ratings"
Zorba the Greek,Nikos Kazantzakis,"4.04 avg rating — 54,625 ratings"
The Death of Ivan Ilych,Leo Tolstoy,"4.13 avg rating — 186,707 ratings"
Middlemarch,George Eliot,"4.02 avg rating — 170,211 ratings"
Midnight’s Children,Salman Rushdie,"3.98 avg rating — 128,378 ratings"
The Epic of Gilgamesh,Anonymous,"3.74 avg rating — 110,581 ratings"
A Doll's House,Henrik Ibsen,"3.77 avg rating — 153,724 ratings"
Journey to the End of the Night,Louis-Ferdinand Céline,"4.19 avg rating — 44,675 ratings"
Invisible Man,Ralph Ellison,"3.92 avg rating — 194,246 ratings"
Leaves of Grass,Walt Whitman,"4.12 avg rating — 112,140 ratings"
The Magic Mountain,Thomas Mann,"4.13 avg rating — 53,332 ratings"
The Book of Disquiet,Fernando Pessoa,"4.40 avg rating — 33,825 ratings"
The Man Without Qualities,Robert Musil,"4.19 avg rating — 6,990 ratings"
Hunger,Knut Hamsun,"4.05 avg rating — 59,886 ratings"
The Decameron,Giovanni Boccaccio,"3.88 avg rating — 41,695 ratings"
Dead Souls,Nikolai Gogol,"3.98 avg rating — 89,923 ratings"
Metamorphoses,Ovid,"4.09 avg rating — 74,310 ratings"
The Aeneid,Virgil,"3.87 avg rating — 135,970 ratings"
The Castle,Franz Kafka,"3.93 avg rating — 68,362 ratings"
Wuthering Heights,Emily Brontë,"3.89 avg rating — 1,904,351 ratings"
Medea,Euripides,"3.94 avg rating — 81,428 ratings"
Mahabharata,Anonymous,"4.32 avg rating — 11,576 ratings"
The Red and the Black,Stendhal,"3.86 avg rating — 78,932 ratings"
Gargantua and Pantagruel,François Rabelais,"3.66 avg rating — 15,721 ratings"
The Complete Stories,Franz Kafka,"4.34 avg rating — 26,541 ratings"
Père Goriot,Honoré de Balzac,"3.85 avg rating — 62,718 ratings"
The Adventures of Huckleberry Finn,Mark Twain,"3.83 avg rating — 1,295,857 ratings"
Selected Stories of Anton Chekhov,Anton Chekhov,"4.37 avg rating — 31,342 ratings"
"Absalom, Absalom!",William Faulkner,"3.98 avg rating — 46,019 ratings"
The Tin Drum,Günter Grass,"3.95 avg rating — 45,242 ratings"
Buddenbrooks: The Decline of a Family,Thomas Mann,"4.19 avg rating — 32,593 ratings"
Ramayana,Vālmīki,"4.20 avg rating — 5,166 ratings"
Sons and Lovers,D.H. Lawrence,"3.64 avg rating — 54,451 ratings"
Demons,Fyodor Dostoevsky,"4.30 avg rating — 56,515 ratings"
Pedro Páramo,Juan Rulfo,"4.06 avg rating — 83,451 ratings"
Memoirs of Hadrian,Marguerite Yourcenar,"4.22 avg rating — 32,487 ratings"
The Book of Job (Pocket Canon),Anonymous,"4.18 avg rating — 4,188 ratings"
The Golden Notebook,Doris Lessing,"3.77 avg rating — 23,782 ratings"
The Complete Essays,Michel de Montaigne,"4.23 avg rating — 21,030 ratings"
"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,"3.73 avg rating — 22,316 ratings"
Molloy / Malone Dies / The Unnamable,Samuel Beckett,"4.28 avg rating — 9,208 ratings"
مثنوی معنوی,Jalal ad-Din Muhammad ar-Rumi,"4.45 avg rating — 4,103 ratings"
Jacques the Fatalist,Denis Diderot,"3.80 avg rating — 9,176 ratings"
Season of Migration to the North,Tayeb Salih,"3.72 avg rating — 30,915 ratings"
The Tale of Genji,Murasaki Shikibu,"3.72 avg rating — 14,078 ratings"
Sentimental Education,Gustave Flaubert,"3.81 avg rating — 23,519 ratings"
أولاد حارتنا,Naguib Mahfouz,"4.09 avg rating — 29,951 ratings"
Independent People,Halldór Laxness,"4.13 avg rating — 13,313 ratings"
The Sound of the Mountain,Yasunari Kawabata,"3.85 avg rating — 8,826 ratings"
Nostromo,Joseph Conrad,"3.81 avg rating — 17,355 ratings"
Diary of a Madman and Other Stories,Lu Xun,"3.91 avg rating — 2,365 ratings"
Grande Sertão: Veredas,João Guimarães Rosa,"4.61 avg rating — 5,751 ratings"
Zeno's Conscience,Italo Svevo,"3.77 avg rating — 29,527 ratings"
Romancero gitano,Federico García Lorca,"4.22 avg rating — 12,774 ratings"
History,Elsa Morante,"4.30 avg rating — 8,768 ratings"
Poems of Paul Celan,Paul Celan,"4.34 avg rating — 3,468 ratings"
Berlin Alexanderplatz,Alfred Döblin,"3.85 avg rating — 10,416 ratings"
Njal's Saga,Anonymous,"3.94 avg rating — 5,232 ratings"
The Recognition of Śakuntalā,Kālidāsa,"3.86 avg rating — 1,908 ratings"
The Orchard: The Bostan Of Saadi Of Shiraz,Saadi,"4.35 avg rating — 1,985 ratings"
The Poems of Giacomo Leopardi,Giacomo Leopardi,"4.39 avg rating — 2,965 ratings"
